algoritmo,complejidad_c,procesos_workers,tiempo_segundos,speed_up,eficiencia,equipo_cores,estado,error,suma_final
concurrent.futures.ProcessPoolExecutor,12,1,0.095750,0.000094,0.000094,8,ok,,4.984695
concurrent.futures.ProcessPoolExecutor,12,2,0.091141,0.000099,0.000049,8,ok,,4.984695
concurrent.futures.ProcessPoolExecutor,12,4,0.097461,0.000092,0.000023,8,ok,,4.984695
concurrent.futures.ProcessPoolExecutor,12,8,0.097739,0.000092,0.000012,8,ok,,4.984695
concurrent.futures.ProcessPoolExecutor,12,16,0.097548,0.000092,0.000006,8,ok,,4.984695
concurrent.futures.ThreadPoolExecutor,12,1,0.000755,0.011921,0.011921,8,ok,,4.984695
concurrent.futures.ThreadPoolExecutor,12,2,0.001078,0.008349,0.004174,8,ok,,4.984695
concurrent.futures.ThreadPoolExecutor,12,4,0.001869,0.004815,0.001204,8,ok,,4.984695
concurrent.futures.ThreadPoolExecutor,12,8,0.001948,0.004620,0.000578,8,ok,,4.984695
concurrent.futures.ThreadPoolExecutor,12,16,0.002908,0.003095,0.000193,8,ok,,4.984695
multiprocessing.Pool,12,1,0.107714,0.000084,0.000084,8,ok,,4.984695
multiprocessing.Pool,12,2,0.104388,0.000086,0.000043,8,ok,,4.984695
multiprocessing.Pool,12,4,0.109964,0.000082,0.000020,8,ok,,4.984695
multiprocessing.Pool,12,8,0.121791,0.000074,0.000009,8,ok,,4.984695
multiprocessing.Pool,12,16,0.131812,0.000068,0.000004,8,ok,,4.984695
secuencial,12,1,0.000009,1.000000,1.000000,8,ok,,4.984695
threading,12,1,0.000199,0.045226,0.045226,8,ok,,4.984695
threading,12,2,0.000295,0.030508,0.015254,8,ok,,4.984695
threading,12,4,0.000787,0.011436,0.002859,8,ok,,4.984695
threading,12,8,0.000879,0.010239,0.001280,8,ok,,4.984695
threading,12,16,0.001181,0.007621,0.000476,8,ok,,4.984695
concurrent.futures.ProcessPoolExecutor,1000000,1,0.357061,0.781880,0.781880,8,ok,,499998.460826
concurrent.futures.ProcessPoolExecutor,1000000,2,0.223381,1.249788,0.624894,8,ok,,499998.460826
concurrent.futures.ProcessPoolExecutor,1000000,4,0.177053,1.576810,0.394203,8,ok,,499998.460826
concurrent.futures.ProcessPoolExecutor,1000000,8,0.186364,1.498031,0.187254,8,ok,,499998.460826
concurrent.futures.ProcessPoolExecutor,1000000,16,0.199911,1.396516,0.087282,8,ok,,499998.460826
concurrent.futures.ThreadPoolExecutor,1000000,1,0.262640,1.062972,1.062972,8,ok,,499998.460826
concurrent.futures.ThreadPoolExecutor,1000000,2,0.132947,2.099927,1.049964,8,ok,,499998.460826
concurrent.futures.ThreadPoolExecutor,1000000,4,0.084038,3.322057,0.830514,8,ok,,499998.460826
concurrent.futures.ThreadPoolExecutor,1000000,8,0.088947,3.138712,0.392339,8,ok,,499998.460826
concurrent.futures.ThreadPoolExecutor,1000000,16,0.094646,2.949718,0.184357,8,ok,,499998.460826
multiprocessing.Pool,1000000,1,0.368843,0.756905,0.756905,8,ok,,499998.460826
