algoritmo,complejidad_c,procesos_workers,tiempo_segundos,speed_up,eficiencia,equipo_cores,estado,error,suma_final
secuencial,100000000,1,10.925741,1.000000,1.000000,22,ok,,50000000.706162
concurrent.futures.ThreadPoolExecutor,100000000,1,11.378959,0.960171,0.960171,22,ok,,50000000.706162
concurrent.futures.ProcessPoolExecutor,100000000,1,11.029577,0.990586,0.990586,22,ok,,50000000.706162
multiprocessing.Pool,100000000,1,11.605306,0.941444,0.941444,22,ok,,50000000.706162
threading,100000000,1,11.241798,0.971886,0.971886,22,ok,,50000000.706162
concurrent.futures.ThreadPoolExecutor,100000000,2,15.762657,0.693141,0.346570,22,ok,,50000000.706162
concurrent.futures.ProcessPoolExecutor,100000000,2,6.197966,1.762795,0.881397,22,ok,,50000000.706162
multiprocessing.Pool,100000000,2,6.105219,1.789574,0.894787,22,ok,,50000000.706162
threading,100000000,2,19.657007,0.555819,0.277910,22,ok,,50000000.706162
concurrent.futures.ThreadPoolExecutor,100000000,4,20.511757,0.532657,0.133164,22,ok,,50000000.706162
concurrent.futures.ProcessPoolExecutor,100000000,4,3.476167,3.143043,0.785761,22,ok,,50000000.706162
multiprocessing.Pool,100000000,4,3.327934,3.283040,0.820760,22,ok,,50000000.706162
threading,100000000,4,21.273273,0.513590,0.128398,22,ok,,50000000.706162
concurrent.futures.ThreadPoolExecutor,100000000,8,22.867227,0.477790,0.059724,22,ok,,50000000.706162
concurrent.futures.ProcessPoolExecutor,100000000,8,2.124283,5.143261,0.642908,22,ok,,50000000.706162
multiprocessing.Pool,100000000,8,2.120283,5.152964,0.644120,22,ok,,50000000.706162
threading,100000000,8,21.659920,0.504422,0.063053,22,ok,,50000000.706162
concurrent.futures.ThreadPoolExecutor,100000000,16,22.835965,0.478444,0.029903,22,ok,,50000000.706162
concurrent.futures.ProcessPoolExecutor,100000000,16,1.386949,7.877536,0.492346,22,ok,,50000000.706162
multiprocessing.Pool,100000000,16,1.407404,7.763045,0.485190,22,ok,,50000000.706162
threading,100000000,16,22.391425,0.487943,0.030496,22,ok,,50000000.706162
