algoritmo,complejidad_c,perfil,max_val,procesos_workers,tiempo_segundos_ab,tiempo_segundos_btat,speed_up_ab,eficiencia_ab,speed_up_btat,eficiencia_btat,equipo_cores,estado,error,checksum_ab,checksum_btat
secuencial,1024,cubo,256,1,85.870545,83.596886,1.815835,1.815835,1.874450,1.874450,8,ok,,34818311,34818311
secuencial (tradicional),1024,cubo,256,1,155.926739,156.698163,1.000000,1.000000,1.000000,1.000000,8,ok,,34818311,34818311
concurrent.futures.ThreadPoolExecutor,1024,cubo,256,4,29.686793,30.575668,5.252394,1.313099,5.124930,1.281233,8,ok,,34818311,34818311
threading,1024,cubo,256,4,30.872268,31.042364,5.050706,1.262676,5.047881,1.261970,8,ok,,34818311,34818311
concurrent.futures.ProcessPoolExecutor,1024,cubo,256,4,24.894975,25.305801,6.263382,1.565846,6.192183,1.548046,8,ok,,34818311,34818311
numba (njit),1024,cubo,256,4,4.977233,5.044623,31.327997,7.831999,31.062413,7.765603,8,ok,,34818311,34818311
concurrent.futures.ThreadPoolExecutor,1024,cubo,256,8,27.555593,27.622861,5.658624,0.707328,5.672771,0.709096,8,ok,,34818311,34818311
threading,1024,cubo,256,8,27.604374,28.554723,5.648624,0.706078,5.487644,0.685956,8,ok,,34818311,34818311
concurrent.futures.ProcessPoolExecutor,1024,cubo,256,8,23.911540,23.711855,6.520983,0.815123,6.608431,0.826054,8,ok,,34818311,34818311
numba (njit),1024,cubo,256,8,4.695137,4.671435,33.210264,4.151283,33.543903,4.192988,8,ok,,34818311,34818311
