tamano,metodo,corridas,tiempo_rgb_gris_s,tiempo_sobel_s,tiempo_total_s,porcentaje_blancos,speed_up,performance_pct,workers,cpu_logicos
750,secuencial,5,0.137598206,0.381080508,0.518678714,0.281777778,1.000000,100.00,1,8
750,numpy,5,0.003584823,0.005273254,0.008858076,0.281777778,58.554328,5855.43,1,8
750,numba_cpu,5,0.008086321,0.001361815,0.009448136,0.281777778,54.897466,686.22,8,8
1500,secuencial,5,0.589171745,1.607831727,2.197003472,0.059955556,1.000000,100.00,1,8
1500,numpy,5,0.013785413,0.025855008,0.039640422,0.059955556,55.423312,5542.33,1,8
1500,numba_cpu,5,0.001911381,0.005410280,0.007321660,0.059955556,300.069022,3750.86,8,8
3000,secuencial,5,2.425503625,6.512637727,8.938141351,0.001366667,1.000000,100.00,1,8
3000,numpy,5,0.060008272,0.120068416,0.180076688,0.001366667,49.635194,4963.52,1,8
3000,numba_cpu,5,0.006325961,0.011174299,0.017500260,0.001366667,510.743340,6384.29,8,8
6000,secuencial,5,9.813729013,26.460540787,36.274269800,0.000000000,1.000000,100.00,1,8
6000,numpy,5,1.742763535,2.402780660,4.145544195,0.000000000,8.750183,875.02,1,8
6000,numba_cpu,5,0.027100780,0.029705952,0.056806732,0.000000000,638.555833,7981.95,8,8
